# dust refr index table for ICON-ART
# 

Wavelength [um]     Real part         Imag part
   0.250    1.55000    0.01250
   0.275    1.55000    0.01100
   0.300    1.55000    0.00950
   0.325    1.55000    0.00850
   0.350    1.55000    0.00750
   0.375    1.55000    0.00650
   0.400    1.55000    0.00550
   0.425    1.55000    0.00450
   0.450    1.55000    0.00360
   0.475    1.55000    0.00330
   0.500    1.55000    0.00300
   0.525    1.55000    0.00275
   0.550    1.55000    0.00250
   0.575    1.55000    0.00225
   0.600    1.55000    0.00210
   0.625    1.55000    0.00190
   0.650    1.55000    0.00170
   0.675    1.55000    0.00150
   0.690    1.55000    0.00135
   0.702    1.55000    0.00130
   0.714    1.55000    0.00115
   0.725    1.55000    0.00110
   0.735    1.55000    0.00110
   0.746    1.55000    0.00105
   0.752    1.55000    0.00105
   0.758    1.55000    0.00105
   0.769    1.55000    0.00100
   0.781    1.55000    0.00100
   0.794    1.55000    0.00100
   0.806    1.55000    0.00090
   0.862    1.55000    0.00090
   0.877    1.55000    0.00084
   0.909    1.55000    0.00082
   0.943    1.55000    0.00080
   0.973    1.55000    0.00075
   0.980    1.55000    0.00075
   1.000    1.55000    0.00070
   1.020    1.55000    0.00070
   1.042    1.55000    0.00070
   1.070    1.55000    0.00070
   1.099    1.55000    0.00070
   1.111    1.55000    0.00070
   1.124    1.55000    0.00060
   1.149    1.55000    0.00060
   1.163    1.55000    0.00060
   1.176    1.55000    0.00060
   1.190    1.55000    0.00060
   1.205    1.55000    0.00060
   1.235    1.55000    0.00060
   1.250    1.55000    0.00060
   1.282    1.55000    0.00057
   1.299    1.55000    0.00060
   1.333    1.55000    0.00065
   1.370    1.55000    0.00070
   1.408    1.55000    0.00080
   1.443    1.55000    0.00080
   1.493    1.55000    0.00080
   1.515    1.55000    0.00080
   1.538    1.55000    0.00080
   1.563    1.55000    0.00080
   1.587    1.55000    0.00080
   1.613    1.55000    0.00080
   1.639    1.55000    0.00085
   1.695    1.55000    0.00090
   1.802    1.55000    0.00100
   1.927    1.55000    0.00110
   2.041    1.55000    0.00120
   2.083    1.55000    0.00130
   2.105    1.55000    0.00140
   2.151    1.55000    0.00160
   2.198    1.55000    0.00200
   2.247    1.55000    0.00200
   2.299    1.55000    0.00250
   2.353    1.55000    0.00230
   2.381    1.55000    0.00250
   2.500    1.55000    0.00300
   2.538    1.55000    0.00300
   2.577    1.55000    0.00400
   2.618    1.55000    0.00450
   2.660    1.55000    0.00540
   2.703    1.55000    0.00600
   2.747    1.55000    0.00650
   2.793    1.55000    0.00700
   2.841    1.55000    0.00750
   2.890    1.55000    0.00800
   2.915    1.55000    0.00850
   2.967    1.55000    0.00900
   3.049    1.55000    0.00950
   3.165    1.55000    0.01500
   3.185    1.55000    0.01510
   3.226    1.55000    0.04000
   3.289    1.55000    0.04100
   3.356    1.55000    0.04200
   3.390    1.55000    0.04400
   3.425    1.55000    0.04650
   3.497    1.55000    0.04800
   3.571    1.55000    0.04900
   3.650    1.55000    0.05050
   3.731    1.55000    0.05200
   3.817    1.55000    0.05600
   4.000    1.55000    0.06200
   4.500    1.55000    0.07000
   5.000    1.34000    0.09400
   5.500    1.35000    0.09700
   6.000    1.36000    0.10000
   6.200    1.28000    0.15000
   6.500    1.26000    0.17000
   7.200    1.24000    0.18000
   7.900    1.22000    0.12500
   8.200    1.00000    0.12500
   8.500    0.90000    0.14000
   8.700    0.56000    0.15600
   9.000    0.55000    0.63600
   9.200    0.60000    0.70000
   9.500    1.70000    0.90000
   9.800    2.00000    1.70000
  10.000    2.38000    1.28100
  10.591    2.40000    0.15000
  11.000    2.10000    0.30000
  11.500    1.80000    0.12000
  12.500    1.40000    0.15000
  13.000    1.20000    0.13000
  14.000    1.00000    0.25000
  14.800    1.00000    0.40000
  15.000    1.00000    0.36360
  16.400    0.75000    0.72000
  17.200    0.84000    1.40000
  18.000    1.60000    2.00000
  18.500    1.80000    2.20000
  20.000    2.00000    0.41000
  21.300    2.00000    1.75000
  22.500    2.10000    0.60000
  25.000    2.20000    0.30000
  27.900    1.90000    0.53000
  30.000    2.40000    0.91000
  35.000    1.90000    0.60000
  40.000    2.10000    1.00000
