# Woodward 2001: Modeling the atmospheric life cycle and radiative impact of
# mineral dust in the Hadley Centre climate model, JGR 106 18155-18166.

Wavelength [um]     Real part         Imag part
      0.200         1.530e+00         8.000e-02
      0.300         1.530e+00         1.800e-02
      0.400         1.530e+00         9.000e-03
      0.500         1.530e+00         5.700e-03
      0.600         1.530e+00         4.700e-03
      0.700         1.530e+00         3.600e-03
      0.800         1.520e+00         4.300e-03
      0.900         1.520e+00         4.300e-03
      1.000         1.520e+00         4.500e-03
      1.536         1.400e+00         4.500e-03
      2.000         1.260e+00         4.500e-03
      2.250         1.220e+00         4.500e-03
      3.000         1.160e+00         3.500e-02
      4.000         1.260e+00         2.100e-02
      5.000         1.250e+00         1.500e-02
      6.000         1.150e+00         6.000e-02
      6.500         1.130e+00         1.000e-01
      7.200         1.400e+00         1.700e-01
      8.000         1.150e+00         7.800e-02
      8.200         1.130e+00         1.100e-01
      9.000         1.700e+00         2.650e-01
     10.000         1.750e+00         5.360e-01
     11.500         1.590e+00         1.200e-01
     12.000         1.550e+00         1.240e-01
     13.000         1.470e+00         2.380e-01
     17.200         1.630e+00         1.920e-01
     20.000         1.680e+00         5.360e-01
     25.000         1.970e+00         6.000e-01
     30.000         1.800e+00         6.300e-01
     35.000         1.900e+00         6.300e-01
     40.000         2.100e+00         6.300e-01
    100.000         1.000e+00         0.000e+00
