# sea salt refr index table for ICON-ART
# 

Wavelength [um]     Real part         Imag part
     0.20           1.4448           0.000042840
     0.25           1.4253           0.000002160
     0.30           1.4179           0.000000860
     0.34           1.4156           0.000000180
     0.40           1.4079           0.000000010
     0.49           1.4056           0.000000010
     0.51           1.4050           0.000000008
     0.55           1.4044           0.000000010
     0.63           1.3996           0.000000020
     0.69           1.3990           0.000000060
     0.86           1.3936           0.000001470
     1.06           1.3876           0.000087950
     1.30           1.3859           0.000192230
     1.54           1.3787           0.000313730
     1.80           1.3710           0.000408040
     2.00           1.3676           0.001057220
     2.25           1.3553           0.001078760
     2.50           1.3333           0.002706830
     2.70           1.2787           0.013866380
     3.00           1.4732           0.159916010
     3.20           1.4831           0.054154550
     3.39           1.4468           0.012528450
     3.50           1.4342           0.006063150
     3.75           1.4122           0.002601620
     4.00           1.4062           0.003231040
     4.50           1.3996           0.008266380
     5.00           1.3870           0.008164770
     5.50           1.3502           0.008177590
     6.00           1.3270           0.065931060
     6.20           1.4644           0.059765100
     6.50           1.3908           0.024569190
     7.20           1.3582           0.021362180
     7.90           1.3393           0.024958950
     8.20           1.3433           0.028640200
     8.50           1.3644           0.032122520
     8.70           1.4123           0.034520370
     9.00           1.4280           0.034809170
     9.20           1.4069           0.034869080
     9.50           1.3872           0.033106040
     9.80           1.3706           0.034253130
    10.00           1.3558           0.035484710
    10.59           1.3163           0.044555400
    11.00           1.2929           0.061378040
    11.50           1.2774           0.087241410
    12.50           1.2501           0.155044240
    13.00           1.2589           0.182220980
    14.00           1.2956           0.221552890
    14.80           1.3316           0.239424660
    15.00           1.3470           0.244996860
    16.40           1.4375           0.282830890
    17.20           1.5374           0.296809320
    18.00           1.5757           0.299370770
    18.50           1.5829           0.298648770
    20.00           1.5998           0.289899830
    21.30           1.6061           0.287450490
    22.50           1.6147           0.288717720
    25.00           1.6290           0.291401980
    27.90           1.6435           0.311620710
    30.00           1.6447           0.316021560
    35.00           1.6295           0.406159430
    40.00           1.6135           0.648097870
    45.00           1.6135           0.648097870
    50.00           1.6135           0.648097870
    55.00           1.6135           0.648097870
    60.00           1.6135           0.648097870
    65.00           1.6135           0.648097870
    70.00           1.6135           0.648097870
    80.00           1.6135           0.648097870
    90.00           1.6135           0.648097870
   100.00           1.6135           0.648097870
   110.00           1.6135           0.648097870
   120.00           1.6135           0.648097870
   135.00           1.6135           0.648097870
   150.00           1.6135           0.648097870
   165.00           1.6135           0.648097870
   180.00           1.6135           0.648097870
   200.00           1.6135           0.648097870
   250.00           1.6135           0.648097870
   300.00           1.6135           0.648097870
   400.00           1.6135           0.648097870
   500.00           1.6135           0.648097870
   750.00           1.6135           0.648097870
  1000.00           1.6135           0.648097870
  1500.00           1.6135           0.648097870
  2000.00           1.6135           0.648097870
  3000.00           1.6135           0.648097870
  5000.00           1.6135           0.648097870
