Background file generated from
/data/nwp1/frln/ssmis1dvar_project/noisy_1_us_standard.dat
43 fixed layers
With simulated errors based on B-matrix
 
 
 
 
 
x------------------- End of Header------------------------------------x
No. Background Profiles:           2
No. of Levels/Profile:             43
Unit for q:                         1  (1=ppmv, 2=kg/kg, 3=RH)
x---------------------------------------------------------------------x
Profile #       1 Follows
x------------------------------------------x
 1013.2500000    288.39500 7.087517e+03 1.000000e+03 0.000000e+00
 1005.4300000    288.00500 6.387830e+03 1.000000e+03 0.000000e+00
  985.8800000    286.85600 5.101521e+03 1.000000e+03 0.000000e+00
  957.4400000    285.28200 4.020443e+03 1.000000e+03 0.000000e+00
  922.4600000    283.51900 3.545412e+03 1.000000e+03 0.000000e+00
  882.8000000    281.41300 3.669380e+03 1.000000e+03 0.000000e+00
  839.9500000    279.23800 3.992118e+03 1.000000e+03 0.000000e+00
  795.0900000    276.63200 2.989015e+03 1.000000e+03 0.000000e+00
  749.1200000    273.23500 3.325526e+03 1.000000e+03 3.905800e-05
  702.7300000    269.30000 2.976041e+03 1.000000e+03 3.905800e-05
  656.4300000    265.92400 1.678502e+03 1.000000e+03 0.000000e+00
  610.6000000    261.97200 1.287016e+03 1.000000e+03 0.000000e+00
  565.5400000    258.23000 1.248082e+03 1.000000e+03 0.000000e+00
  521.4600000    253.87700 1.720328e+03 1.000000e+03 0.000000e+00
  478.5400000    249.43200 1.719474e+03 1.000000e+03 0.000000e+00
  436.9500000    245.51300 1.298659e+03 1.000000e+03 0.000000e+00
  396.8100000    241.46500 1.106625e+03 1.000000e+03 0.000000e+00
  358.2800000    236.51000 8.257152e+02 1.000000e+03 0.000000e+00
  321.5000000    231.02200 1.981576e+02 1.000000e+03 0.000000e+00
  286.6000000    226.08900 1.119285e+02 1.000000e+03 0.000000e+00
  253.7100000    221.60000 6.005669e+01 1.000000e+03 0.000000e+00
  222.9400000    219.11300 3.387402e+01 1.000000e+03 0.000000e+00
  194.3600000    218.03300 1.998431e+01 1.000000e+03 0.000000e+00
  167.9500000    217.88300 1.159071e+01 1.000000e+03 0.000000e+00
